Time(s) RTT_Flux1 RTT_Flux2
5.73792 NaN 0.12928
8.17728 NaN 0.12928
7.63792 NaN 0.12928
7.8288 NaN 0.12928
4.23328 NaN 0.12928
7.9864 NaN 0.12928
8.30992 NaN 0.12928
8.1024 NaN 0.12928
4.46624 NaN 0.12928
7.93648 NaN 0.12928
9.1072 NaN 0.12928
9.72288 NaN 0.12928
6.94096 NaN 0.12928
9.84768 NaN 0.12928
8.96576 NaN 0.12928
7.28112 NaN 0.12928
7.61296 NaN 0.12928
8.78272 NaN 0.12928
8.09408 NaN 0.12928
4.0336 NaN 0.12928
7.10688 NaN 0.12928
5.39776 NaN 0.12928
6.7584 NaN 0.12928
7.29776 NaN 0.12928
9.05728 NaN 0.12928
9.04064 NaN 0.12928
9.34848 NaN 0.12928
9.16544 NaN 0.12928
2.58048 NaN 0.12928
8.8992 NaN 0.12928
7.96144 NaN 0.12928
8.0608 NaN 0.12928
7.45536 NaN 0.12928
9.0656 NaN 0.12928
8.25168 NaN 0.12928
8.99072 NaN 0.12928
8.12736 NaN 0.12928
8.11072 NaN 0.12928
6.40992 NaN 0.12928
7.13184 NaN 0.12928
9.83104 NaN 0.12928
9.14048 NaN 0.12928
7.472 NaN 0.12928
9.43168 NaN 0.12928
8.2184 NaN 0.12928
9.2736 NaN 0.12928
9.55648 NaN 0.12928
4.4496 NaN 0.12928
9.37344 NaN 0.12928
6.6008 NaN 0.12928
2.5472 NaN 0.12928
9.66464 NaN 0.12928
8.60848 NaN 0.12928
6.89936 NaN 0.12928
9.78944 NaN 0.12928
8.79936 NaN 0.12928
6.4432 NaN 0.12928
7.48032 NaN 0.12928
7.55472 NaN 0.12928
9.3152 NaN 0.12928
6.57584 NaN 0.12928
8.47584 NaN 0.12928
8.22672 NaN 0.12928
6.06976 NaN 0.12928
7.97808 NaN 0.12928
9.76448 NaN 0.12928
9.58144 NaN 0.12928
7.9448 NaN 0.12928
6.73344 NaN 0.12928
9.87264 NaN 0.11896
9.40672 NaN 0.12928
8.88256 NaN 0.12928
8.63344 NaN 0.12928
9.6896 NaN 0.12928
7.65456 NaN 0.12928
6.22736 NaN 0.12928
7.72896 NaN 0.12928
7.7872 NaN 0.12928
7.39712 NaN 0.12928
8.45088 NaN 0.12928
5.23184 NaN 0.12928
8.06912 NaN 0.12928
6.0864 NaN 0.12928
9.26528 NaN 0.12928
9.08224 NaN 0.12928
6.09472 NaN 0.12928
9.49824 NaN 0.12928
4.01696 NaN 0.12928
6.90768 NaN 0.12928
9.856 NaN 0.12928
9.09888 NaN 0.12928
7.30608 NaN 0.12928
8.80768 NaN 0.12928
8.26 NaN 0.12928
9.61472 NaN 0.12928
5.58032 NaN 0.12928
8.8576 NaN 0.12928
0.3536 NaN 0.12928
9.232 NaN 0.12928
6.5592 NaN 0.12928
6.39328 NaN 0.12928
7.89488 NaN 0.12928
9.4816 NaN 0.12928
8.91584 NaN 0.12928
8.29328 NaN 0.12928
6.25232 NaN 0.12928
7.75392 NaN 0.12928
2.7552 NaN 0.12928
8.15232 NaN 0.12928
8.144 NaN 0.12928
7.24784 NaN 0.12928
0.5616 NaN 0.12928
9.00736 NaN 0.12928
9.47328 NaN 0.12928
6.26896 NaN 0.12928
9.29024 NaN 0.12928
9.5232 NaN 0.12928
9.59808 NaN 0.12928
8.16896 NaN 0.12928
9.11552 NaN 0.12928
9.88928 NaN 0.10864
7.6296 NaN 0.12928
7.91152 NaN 0.12928
6.60912 NaN 0.12928
8.83264 NaN 0.12928
7.40544 NaN 0.12928
8.50912 NaN 0.12928
4.2 NaN 0.12928
6.42656 NaN 0.12928
7.59632 NaN 0.12928
9.7312 NaN 0.12928
7.22288 NaN 0.12928
6.4016 NaN 0.12928
8.32656 NaN 0.12928
8.39264 NaN 0.12928
8.26832 NaN 0.12928
5.91216 NaN 0.12928
9.68128 NaN 0.12928
7.81216 NaN 0.12928
9.50656 NaN 0.12928
9.32352 NaN 0.12928
7.2728 NaN 0.12928
8.55024 NaN 0.12928
9.44832 NaN 0.12928
7.57136 NaN 0.12928
9.73952 NaN 0.12928
8.67504 NaN 0.12928
2.0176 NaN 0.12928
8.74944 NaN 0.12928
8.49248 NaN 0.12928
7.06528 NaN 0.12928
8.56688 NaN 0.12928
7.7456 NaN 0.12928
