# index   rtt_flux1   rtt_flux2
274 0.01832 0.05832
275 0.01832 0.05832
276 0.01832 0.05832
277 0.01832 0.05832
278 0.01832 0.05832
279 0.01832 0.05832
280 0.01832 0.05832
281 0.01832 0.01832
282 0.01832 0.01832
283 0.01832 0.01832
284 0.01832 0.01832
285 0.01832 0.01832
286 0.01832 0.01832
287 0.01832 0.01832
288 0.01832 0.01832
289 0.01832 0.01832
290 0.01832 0.01832
291 0.01832 0.01832
292 0.01832 0.01832
293 0.01832 0.01832
294 0.01832 0.01832
295 0.01832 0.01832
296 0.01832 0.01832
297 0.01832 0.01832
298 0.01832 0.05832
299 0.01832 0.01832
300 0.01832 0.05832
301 0.01832 0.05832
302 0.01832 0.05832
303 0.01832 0.05832
304 0.01832 0.05832
305 0.01832 0.05832
306 0.01832 0.05832
307 0.01832 0.05832
308 0.01832 0.01832
309 0.01832 0.01832
310 0.01832 0.01832
311 0.01832 0.01832
312 0.01832 0.01832
313 0.01832 0.01832
314 0.01832 0.01832
315 0.01832 0.01832
316 0.01832 0.01832
317 0.01832 0.01832
318 0.01832 0.01832
319 0.01832 0.01832
320 0.01832 0.01832
321 0.01832 0.01832
322 0.01832 0.01832
323 0.01832 0.01832
324 0.01832 0.01832
325 0.01832 0.01832
326 0.01832 0.05832
327 0.01832 0.01832
328 0.01832 0.05832
329 0.01832 0.01832
330 0.01832 0.05832
331 0.01832 0.05832
332 0.01832 0.05832
333 0.01832 0.05832
334 0.01832 0.05832
335 0.01832 0.05832
336 0.01832 0.05832
337 0.01832 0.05832
338 0.01832 0.01832
339 0.01832 0.01832
340 0.01832 0.01832
341 0.01832 0.01832
342 0.01832 0.01832
343 0.01832 0.01832
344 0.01832 0.01832
345 0.01832 0.01832
346 0.01832 0.01832
347 0.01832 0.01832
348 0.01832 0.01832
349 0.01832 0.01832
350 0.01832 0.01832
351 0.01832 0.01832
352 0.01832 0.01832
353 0.01832 0.01832
354 0.01832 0.01832
355 0.01832 0.01832
356 0.01832 0.05832
357 0.01832 0.01832
358 0.01832 0.01832
359 0.01832 0.05832
360 0.01832 0.01832
361 0.01832 0.05832
362 0.01832 0.01832
363 0.01832 0.05832
364 0.01832 0.05832
365 0.01832 0.05832
366 0.01832 0.05832
367 0.01832 0.05832
368 0.01832 0.05832
369 0.01832 0.05832
370 0.01832 0.05832
371 0.01832 0.01832
372 0.01832 0.01832
373 0.01832 0.01832
374 0.01832 0.01832
375 0.01832 0.01832
376 0.01832 0.01832
377 0.01832 0.01832
378 0.01832 0.01832
379 0.01832 0.01832
380 0.01832 0.01832
381 0.01832 0.01832
382 0.01832 0.01832
383 0.01832 0.01832
384 0.01832 0.01832
385 0.01832 0.01832
386 0.01832 0.01832
387 0.01832 0.01832
388 0.01832 0.01832
389 0.01832 0.05832
390 0.01832 0.01832
391 0.01832 0.01832
392 0.01832 0.05832
393 0.01832 0.01832
394 0.01832 0.01832
395 0.01832 0.05832
